,image_id,class_id,x_min,y_min,x_max,y_max
45,7c1add6833d5f0102b0d3619a1682a64,4,195.0,432.0,336.0,533.0
46,18a61a07e6f5f13ebfee57fa36cd8b6f,2,131.0,94.0,274.0,214.0
47,18a61a07e6f5f13ebfee57fa36cd8b6f,11,139.0,79.0,270.0,123.0
48,18a61a07e6f5f13ebfee57fa36cd8b6f,11,154.0,76.0,264.0,98.0
49,18a61a07e6f5f13ebfee57fa36cd8b6f,13,118.0,98.0,267.0,203.0
50,18a61a07e6f5f13ebfee57fa36cd8b6f,4,131.0,162.0,175.0,197.0
51,18a61a07e6f5f13ebfee57fa36cd8b6f,8,131.0,162.0,175.0,197.0
52,321c111713c3ee5385db0effb54ff568,8,586.0,221.0,621.0,250.0
53,321c111713c3ee5385db0effb54ff568,0,430.0,184.0,492.0,268.0
54,321c111713c3ee5385db0effb54ff568,2,584.0,222.0,619.0,248.0
55,321c111713c3ee5385db0effb54ff568,13,582.0,223.0,624.0,251.0
56,80caa435b6ab5edaff4a0a758ffaec6e,1,618.0,106.0,784.0,270.0
57,80caa435b6ab5edaff4a0a758ffaec6e,1,214.0,93.0,393.0,291.0
58,80caa435b6ab5edaff4a0a758ffaec6e,1,241.0,131.0,400.0,466.0
59,80caa435b6ab5edaff4a0a758ffaec6e,1,110.0,154.0,461.0,788.0
60,80caa435b6ab5edaff4a0a758ffaec6e,2,766.0,520.0,801.0,563.0
61,80caa435b6ab5edaff4a0a758ffaec6e,2,592.0,170.0,725.0,270.0
62,80caa435b6ab5edaff4a0a758ffaec6e,2,172.0,396.0,262.0,593.0
63,80caa435b6ab5edaff4a0a758ffaec6e,7,577.0,124.0,769.0,373.0
64,80caa435b6ab5edaff4a0a758ffaec6e,7,110.0,154.0,461.0,788.0
65,80caa435b6ab5edaff4a0a758ffaec6e,7,214.0,104.0,424.0,324.0
66,80caa435b6ab5edaff4a0a758ffaec6e,7,182.0,604.0,372.0,715.0
67,80caa435b6ab5edaff4a0a758ffaec6e,7,130.0,285.0,261.0,636.0
68,80caa435b6ab5edaff4a0a758ffaec6e,8,768.0,521.0,800.0,563.0
69,80caa435b6ab5edaff4a0a758ffaec6e,8,175.0,565.0,213.0,603.0
70,80caa435b6ab5edaff4a0a758ffaec6e,10,110.0,154.0,461.0,788.0
71,80caa435b6ab5edaff4a0a758ffaec6e,10,129.0,639.0,349.0,832.0
72,80caa435b6ab5edaff4a0a758ffaec6e,10,138.0,604.0,413.0,772.0
73,80caa435b6ab5edaff4a0a758ffaec6e,13,182.0,604.0,372.0,715.0
74,80caa435b6ab5edaff4a0a758ffaec6e,13,172.0,343.0,300.0,493.0
75,80caa435b6ab5edaff4a0a758ffaec6e,13,625.0,219.0,778.0,361.0
76,80caa435b6ab5edaff4a0a758ffaec6e,13,577.0,124.0,769.0,373.0
77,80caa435b6ab5edaff4a0a758ffaec6e,13,576.0,162.0,712.0,268.0
78,80caa435b6ab5edaff4a0a758ffaec6e,11,710.0,146.0,798.0,254.0
79,80caa435b6ab5edaff4a0a758ffaec6e,4,257.0,266.0,451.0,652.0
80,5da264775732004f1b724b660138854a,0,540.0,229.0,654.0,381.0
81,5da264775732004f1b724b660138854a,3,398.0,539.0,828.0,709.0
82,fb8e11c6b2886b2d41b379e0598669b9,0,442.0,304.0,534.0,420.0
83,fb8e11c6b2886b2d41b379e0598669b9,0,463.0,292.0,538.0,387.0
84,fb8e11c6b2886b2d41b379e0598669b9,6,199.0,481.0,311.0,585.0
85,fb8e11c6b2886b2d41b379e0598669b9,6,201.0,241.0,330.0,413.0
86,fb8e11c6b2886b2d41b379e0598669b9,7,150.0,470.0,348.0,592.0
87,fb8e11c6b2886b2d41b379e0598669b9,7,221.0,299.0,264.0,341.0
88,fb8e11c6b2886b2d41b379e0598669b9,7,199.0,481.0,311.0,585.0
89,fb8e11c6b2886b2d41b379e0598669b9,8,220.0,299.0,270.0,338.0
90,fb8e11c6b2886b2d41b379e0598669b9,10,74.0,552.0,130.0,653.0
91,fb8e11c6b2886b2d41b379e0598669b9,10,647.0,632.0,704.0,701.0
92,fb8e11c6b2886b2d41b379e0598669b9,11,234.0,159.0,360.0,193.0
93,fb8e11c6b2886b2d41b379e0598669b9,11,647.0,632.0,704.0,701.0
94,fb8e11c6b2886b2d41b379e0598669b9,11,74.0,552.0,130.0,653.0
95,fb8e11c6b2886b2d41b379e0598669b9,4,216.0,289.0,277.0,340.0
96,fb8e11c6b2886b2d41b379e0598669b9,13,196.0,195.0,332.0,345.0
97,0622cd29e4e0e4f198abf15614819ae8,0,452.0,216.0,567.0,327.0
98,0622cd29e4e0e4f198abf15614819ae8,3,337.0,485.0,695.0,638.0
99,347180362348e522905047dde655b6d7,0,361.0,182.0,430.0,262.0
100,347180362348e522905047dde655b6d7,11,215.0,66.0,285.0,81.0
101,347180362348e522905047dde655b6d7,11,385.0,68.0,471.0,89.0
102,22b8e616a61bbc4caaed0cf23b7159df,0,460.0,321.0,540.0,426.0
103,22b8e616a61bbc4caaed0cf23b7159df,13,189.0,226.0,305.0,390.0
104,22b8e616a61bbc4caaed0cf23b7159df,11,166.0,216.0,214.0,250.0
105,c394eadea89e5795c8037280492d116d,9,109.0,252.0,300.0,584.0
106,c394eadea89e5795c8037280492d116d,9,3.0,228.0,102.0,717.0
107,c394eadea89e5795c8037280492d116d,9,112.0,20.0,651.0,229.0
108,c394eadea89e5795c8037280492d116d,9,417.0,19.0,578.0,202.0
109,c394eadea89e5795c8037280492d116d,9,185.0,1.0,326.0,198.0
110,c394eadea89e5795c8037280492d116d,7,98.0,253.0,343.0,628.0
111,c394eadea89e5795c8037280492d116d,12,91.0,208.0,333.0,650.0
112,be1bb194dfb986bf7554b491852b8901,3,384.0,495.0,781.0,598.0
113,be1bb194dfb986bf7554b491852b8901,6,217.0,376.0,418.0,580.0
114,be1bb194dfb986bf7554b491852b8901,6,744.0,512.0,839.0,609.0
115,be1bb194dfb986bf7554b491852b8901,7,217.0,376.0,418.0,580.0
116,be1bb194dfb986bf7554b491852b8901,7,744.0,512.0,839.0,609.0
117,be1bb194dfb986bf7554b491852b8901,9,217.0,376.0,418.0,580.0
118,be1bb194dfb986bf7554b491852b8901,9,744.0,512.0,839.0,609.0
119,be1bb194dfb986bf7554b491852b8901,5,230.0,337.0,418.0,569.0
120,d7aea6f37597df566725da73655edcc2,0,474.0,261.0,597.0,415.0
121,d7aea6f37597df566725da73655edcc2,3,251.0,515.0,648.0,748.0
122,d7aea6f37597df566725da73655edcc2,6,561.0,332.0,787.0,724.0
123,d7aea6f37597df566725da73655edcc2,6,106.0,214.0,404.0,696.0
124,d7aea6f37597df566725da73655edcc2,6,105.0,300.0,286.0,677.0
125,d7aea6f37597df566725da73655edcc2,7,299.0,286.0,394.0,508.0
126,d7aea6f37597df566725da73655edcc2,7,105.0,300.0,286.0,677.0
127,d7aea6f37597df566725da73655edcc2,7,567.0,356.0,771.0,678.0
128,d7aea6f37597df566725da73655edcc2,10,92.0,563.0,404.0,771.0
129,d7aea6f37597df566725da73655edcc2,10,89.0,598.0,156.0,737.0
130,d7aea6f37597df566725da73655edcc2,10,76.0,613.0,248.0,765.0
131,d7aea6f37597df566725da73655edcc2,11,484.0,110.0,665.0,162.0
132,d7aea6f37597df566725da73655edcc2,11,280.0,136.0,412.0,170.0
133,d7aea6f37597df566725da73655edcc2,11,289.0,127.0,386.0,162.0
134,d7aea6f37597df566725da73655edcc2,4,113.0,281.0,250.0,672.0
135,8ae85268313b0db2f58d2193aab645c9,5,601.0,175.0,799.0,754.0
136,8ae85268313b0db2f58d2193aab645c9,5,245.0,210.0,468.0,788.0
137,8ae85268313b0db2f58d2193aab645c9,9,259.0,290.0,449.0,672.0
138,8ae85268313b0db2f58d2193aab645c9,9,632.0,283.0,800.0,691.0
139,8ae85268313b0db2f58d2193aab645c9,10,240.0,775.0,286.0,832.0
140,8ae85268313b0db2f58d2193aab645c9,10,769.0,742.0,804.0,800.0
141,8ae85268313b0db2f58d2193aab645c9,11,240.0,775.0,286.0,832.0
142,8ae85268313b0db2f58d2193aab645c9,11,769.0,742.0,804.0,800.0
143,8ae85268313b0db2f58d2193aab645c9,13,632.0,283.0,800.0,691.0
144,8ae85268313b0db2f58d2193aab645c9,13,259.0,290.0,449.0,672.0
145,8e063eadea9a6aeb684c893c8598be3e,0,453.0,341.0,562.0,456.0
146,8e063eadea9a6aeb684c893c8598be3e,8,123.0,621.0,145.0,640.0
147,8e063eadea9a6aeb684c893c8598be3e,8,311.0,248.0,325.0,260.0
148,8e063eadea9a6aeb684c893c8598be3e,11,194.0,207.0,267.0,264.0
149,8e063eadea9a6aeb684c893c8598be3e,9,100.0,745.0,283.0,888.0
150,8e063eadea9a6aeb684c893c8598be3e,7,100.0,745.0,283.0,888.0
151,04bb8bd7ee6f88a16623fe5c6dd4da91,7,269.0,463.0,473.0,590.0
152,04bb8bd7ee6f88a16623fe5c6dd4da91,7,707.0,470.0,820.0,568.0
153,04bb8bd7ee6f88a16623fe5c6dd4da91,10,658.0,502.0,853.0,666.0
154,04bb8bd7ee6f88a16623fe5c6dd4da91,10,199.0,472.0,389.0,665.0
155,04bb8bd7ee6f88a16623fe5c6dd4da91,10,218.0,396.0,451.0,683.0
156,04bb8bd7ee6f88a16623fe5c6dd4da91,13,273.0,470.0,428.0,491.0
157,bd6eb525438d6da1ced0ed1810857772,7,583.0,572.0,807.0,678.0
158,bd6eb525438d6da1ced0ed1810857772,7,637.0,516.0,792.0,653.0
159,bd6eb525438d6da1ced0ed1810857772,10,572.0,470.0,852.0,744.0
160,bd6eb525438d6da1ced0ed1810857772,10,60.0,757.0,136.0,843.0
161,bd6eb525438d6da1ced0ed1810857772,10,48.0,787.0,255.0,856.0
162,bd6eb525438d6da1ced0ed1810857772,11,60.0,757.0,136.0,843.0
163,bd6eb525438d6da1ced0ed1810857772,11,621.0,117.0,697.0,158.0
164,bd6eb525438d6da1ced0ed1810857772,11,48.0,787.0,255.0,856.0
165,4016b176eaf40d514b0559a0aeb48f21,0,520.0,239.0,611.0,335.0
166,4016b176eaf40d514b0559a0aeb48f21,3,381.0,525.0,809.0,652.0
167,4016b176eaf40d514b0559a0aeb48f21,13,736.0,338.0,829.0,375.0
168,4016b176eaf40d514b0559a0aeb48f21,13,776.0,344.0,831.0,365.0
169,4016b176eaf40d514b0559a0aeb48f21,9,304.0,370.0,412.0,565.0
170,4016b176eaf40d514b0559a0aeb48f21,7,304.0,370.0,412.0,565.0
171,25f2c7b53a6ed09a9aaf73c30357aaf6,0,399.0,178.0,504.0,313.0
172,25f2c7b53a6ed09a9aaf73c30357aaf6,0,423.0,189.0,502.0,262.0
173,25f2c7b53a6ed09a9aaf73c30357aaf6,3,241.0,462.0,686.0,597.0
174,18ee9ef3baea468de2087e0edd85e919,0,431.0,343.0,524.0,442.0
175,18ee9ef3baea468de2087e0edd85e919,3,281.0,626.0,657.0,718.0
176,18ee9ef3baea468de2087e0edd85e919,13,636.0,631.0,718.0,723.0
177,18ee9ef3baea468de2087e0edd85e919,13,686.0,646.0,721.0,727.0
178,18ee9ef3baea468de2087e0edd85e919,8,158.0,617.0,195.0,662.0
179,7eda1e28e4cee7d8016276c87b76259f,10,44.0,623.0,100.0,688.0
180,7eda1e28e4cee7d8016276c87b76259f,11,384.0,95.0,498.0,141.0
181,7eda1e28e4cee7d8016276c87b76259f,11,195.0,85.0,266.0,112.0
182,7eda1e28e4cee7d8016276c87b76259f,11,140.0,527.0,192.0,578.0
183,7eda1e28e4cee7d8016276c87b76259f,11,48.0,613.0,105.0,666.0
184,7eda1e28e4cee7d8016276c87b76259f,11,110.0,74.0,277.0,144.0
185,7eda1e28e4cee7d8016276c87b76259f,11,61.0,630.0,88.0,685.0
186,7eda1e28e4cee7d8016276c87b76259f,11,396.0,101.0,522.0,180.0
187,7eda1e28e4cee7d8016276c87b76259f,11,162.0,89.0,264.0,136.0
188,7eda1e28e4cee7d8016276c87b76259f,13,236.0,101.0,274.0,155.0
189,7eda1e28e4cee7d8016276c87b76259f,13,399.0,117.0,463.0,191.0
190,7eda1e28e4cee7d8016276c87b76259f,9,555.0,546.0,581.0,636.0
191,abb91bdaa9d02f50bde1eaa88e13afab,6,177.0,312.0,283.0,388.0
192,abb91bdaa9d02f50bde1eaa88e13afab,6,141.0,326.0,265.0,430.0
193,abb91bdaa9d02f50bde1eaa88e13afab,7,141.0,326.0,265.0,430.0
194,abb91bdaa9d02f50bde1eaa88e13afab,7,178.0,303.0,268.0,391.0
195,abb91bdaa9d02f50bde1eaa88e13afab,3,309.0,548.0,675.0,668.0
196,abb91bdaa9d02f50bde1eaa88e13afab,11,258.0,128.0,345.0,148.0
197,abb91bdaa9d02f50bde1eaa88e13afab,0,452.0,261.0,539.0,368.0
198,98d44861c84d532bcca874fcde5e5f42,0,375.0,162.0,447.0,252.0
199,98d44861c84d532bcca874fcde5e5f42,3,278.0,402.0,616.0,522.0
200,222b7757f55bee221e7aba69fc9928d0,0,458.0,264.0,566.0,383.0
201,222b7757f55bee221e7aba69fc9928d0,3,323.0,596.0,676.0,714.0
202,222b7757f55bee221e7aba69fc9928d0,9,348.0,180.0,397.0,366.0
203,222b7757f55bee221e7aba69fc9928d0,7,348.0,180.0,397.0,366.0
204,9b9f47628be6a48ddb41aec8ba39b454,0,384.0,289.0,485.0,408.0
205,9b9f47628be6a48ddb41aec8ba39b454,4,126.0,365.0,273.0,488.0
206,9b9f47628be6a48ddb41aec8ba39b454,7,133.0,354.0,272.0,480.0
207,9b9f47628be6a48ddb41aec8ba39b454,8,145.0,362.0,274.0,487.0
208,9b9f47628be6a48ddb41aec8ba39b454,10,636.0,565.0,675.0,644.0
209,9b9f47628be6a48ddb41aec8ba39b454,11,636.0,565.0,675.0,644.0
210,9b9f47628be6a48ddb41aec8ba39b454,9,459.0,610.0,688.0,717.0
211,9b9f47628be6a48ddb41aec8ba39b454,3,256.0,546.0,592.0,665.0
212,d106ec9b305178f3da060efe3191499a,8,800.0,379.0,818.0,394.0
213,d106ec9b305178f3da060efe3191499a,8,742.0,192.0,753.0,204.0
214,d106ec9b305178f3da060efe3191499a,8,806.0,402.0,823.0,416.0
215,d106ec9b305178f3da060efe3191499a,8,704.0,403.0,735.0,438.0
216,d106ec9b305178f3da060efe3191499a,8,827.0,734.0,856.0,757.0
217,d106ec9b305178f3da060efe3191499a,8,264.0,677.0,304.0,715.0
218,d106ec9b305178f3da060efe3191499a,8,247.0,233.0,269.0,257.0
219,d106ec9b305178f3da060efe3191499a,8,161.0,691.0,177.0,705.0
220,d106ec9b305178f3da060efe3191499a,8,169.0,494.0,202.0,523.0
221,d106ec9b305178f3da060efe3191499a,8,685.0,267.0,718.0,305.0
222,d106ec9b305178f3da060efe3191499a,8,161.0,556.0,209.0,598.0
223,d106ec9b305178f3da060efe3191499a,8,233.0,138.0,357.0,405.0
224,d106ec9b305178f3da060efe3191499a,8,72.0,77.0,439.0,865.0
225,d106ec9b305178f3da060efe3191499a,8,856.0,699.0,881.0,724.0
226,d106ec9b305178f3da060efe3191499a,8,265.0,359.0,283.0,376.0
227,d106ec9b305178f3da060efe3191499a,8,245.0,142.0,269.0,163.0
228,d106ec9b305178f3da060efe3191499a,8,317.0,255.0,351.0,289.0
229,d106ec9b305178f3da060efe3191499a,8,113.0,694.0,150.0,725.0
230,d106ec9b305178f3da060efe3191499a,8,230.0,362.0,257.0,386.0
231,d106ec9b305178f3da060efe3191499a,8,238.0,587.0,273.0,633.0
232,d106ec9b305178f3da060efe3191499a,8,808.0,735.0,828.0,758.0
233,d106ec9b305178f3da060efe3191499a,8,615.0,283.0,648.0,309.0
234,d106ec9b305178f3da060efe3191499a,8,383.0,213.0,403.0,238.0
235,d106ec9b305178f3da060efe3191499a,8,656.0,191.0,849.0,445.0
236,d106ec9b305178f3da060efe3191499a,8,608.0,210.0,879.0,821.0
237,d106ec9b305178f3da060efe3191499a,8,174.0,385.0,194.0,400.0
238,d106ec9b305178f3da060efe3191499a,8,251.0,524.0,269.0,544.0
239,d106ec9b305178f3da060efe3191499a,8,718.0,744.0,745.0,771.0
240,d106ec9b305178f3da060efe3191499a,8,734.0,544.0,868.0,817.0
241,d106ec9b305178f3da060efe3191499a,8,686.0,369.0,704.0,387.0
242,d106ec9b305178f3da060efe3191499a,8,148.0,467.0,305.0,724.0
243,d106ec9b305178f3da060efe3191499a,9,233.0,138.0,357.0,405.0
244,d106ec9b305178f3da060efe3191499a,9,734.0,544.0,868.0,817.0
245,d106ec9b305178f3da060efe3191499a,9,148.0,467.0,305.0,724.0
246,d106ec9b305178f3da060efe3191499a,9,656.0,191.0,849.0,445.0
247,d106ec9b305178f3da060efe3191499a,11,65.0,838.0,103.0,872.0
248,d106ec9b305178f3da060efe3191499a,10,65.0,838.0,103.0,872.0
249,f32ab457c492c30221d3a89fe7c6b25a,0,444.0,287.0,653.0,409.0
250,f32ab457c492c30221d3a89fe7c6b25a,8,591.0,347.0,697.0,517.0
251,f32ab457c492c30221d3a89fe7c6b25a,8,400.0,363.0,530.0,551.0
252,f32ab457c492c30221d3a89fe7c6b25a,5,658.0,363.0,801.0,544.0
253,b9f09915187c2cc01e958da90d97ac89,0,422.0,208.0,531.0,393.0
254,b9f09915187c2cc01e958da90d97ac89,3,264.0,503.0,663.0,570.0
255,b9f09915187c2cc01e958da90d97ac89,10,680.0,533.0,728.0,586.0
256,b9f09915187c2cc01e958da90d97ac89,10,33.0,529.0,85.0,622.0
257,b9f09915187c2cc01e958da90d97ac89,11,33.0,529.0,85.0,622.0
258,b9f09915187c2cc01e958da90d97ac89,11,249.0,84.0,301.0,106.0
259,b9f09915187c2cc01e958da90d97ac89,11,680.0,533.0,728.0,586.0
260,f769eea17a2e7678f481f386c3c6261c,3,299.0,453.0,606.0,637.0
261,f769eea17a2e7678f481f386c3c6261c,3,298.0,428.0,607.0,531.0
262,f769eea17a2e7678f481f386c3c6261c,13,552.0,446.0,648.0,491.0
263,f769eea17a2e7678f481f386c3c6261c,11,453.0,157.0,547.0,173.0
264,f769eea17a2e7678f481f386c3c6261c,0,396.0,224.0,481.0,340.0
265,f769eea17a2e7678f481f386c3c6261c,9,435.0,388.0,573.0,523.0
266,6900482a91a538ead56b483f77bcf289,10,537.0,436.0,698.0,701.0
267,6900482a91a538ead56b483f77bcf289,3,219.0,563.0,578.0,674.0
268,a3f5ac68c8d1b1805be21f18c47fc186,7,276.0,174.0,329.0,239.0
269,a3f5ac68c8d1b1805be21f18c47fc186,7,708.0,305.0,756.0,328.0
270,a3f5ac68c8d1b1805be21f18c47fc186,8,264.0,255.0,316.0,297.0
271,a3f5ac68c8d1b1805be21f18c47fc186,8,707.0,307.0,744.0,336.0
272,a3f5ac68c8d1b1805be21f18c47fc186,13,276.0,185.0,329.0,250.0
273,a3f5ac68c8d1b1805be21f18c47fc186,13,688.0,298.0,766.0,338.0
274,a3f5ac68c8d1b1805be21f18c47fc186,13,250.0,158.0,383.0,297.0
275,0cfae3f740f87ca3b96dec765d06fad0,0,393.0,245.0,482.0,371.0
276,0cfae3f740f87ca3b96dec765d06fad0,13,141.0,435.0,278.0,513.0
277,0cfae3f740f87ca3b96dec765d06fad0,13,147.0,433.0,194.0,474.0
278,0a14aeaf02d42990d8bb5d55270b7274,10,694.0,584.0,858.0,845.0
279,0a14aeaf02d42990d8bb5d55270b7274,10,59.0,761.0,93.0,831.0
280,0a14aeaf02d42990d8bb5d55270b7274,10,56.0,781.0,103.0,819.0
281,0a14aeaf02d42990d8bb5d55270b7274,11,694.0,584.0,858.0,845.0
282,0a14aeaf02d42990d8bb5d55270b7274,11,59.0,761.0,93.0,831.0
283,0a14aeaf02d42990d8bb5d55270b7274,11,56.0,781.0,103.0,819.0
284,0a14aeaf02d42990d8bb5d55270b7274,11,563.0,104.0,689.0,137.0
285,0a14aeaf02d42990d8bb5d55270b7274,5,197.0,532.0,370.0,735.0
286,0a14aeaf02d42990d8bb5d55270b7274,7,724.0,627.0,827.0,778.0
287,0a14aeaf02d42990d8bb5d55270b7274,6,197.0,532.0,370.0,735.0
288,aa3535cb70d8142fdbdac165de546a8c,0,444.0,257.0,552.0,377.0
289,aa3535cb70d8142fdbdac165de546a8c,3,321.0,557.0,687.0,677.0
290,aa3535cb70d8142fdbdac165de546a8c,8,693.0,609.0,719.0,633.0
291,aa3535cb70d8142fdbdac165de546a8c,8,688.0,546.0,724.0,579.0
292,aa3535cb70d8142fdbdac165de546a8c,8,540.0,185.0,589.0,228.0
293,aa3535cb70d8142fdbdac165de546a8c,11,485.0,95.0,560.0,136.0
294,aa3535cb70d8142fdbdac165de546a8c,11,246.0,100.0,352.0,126.0
295,aa3535cb70d8142fdbdac165de546a8c,7,540.0,185.0,589.0,228.0
296,75de97fbdf15aa3e1927a97ff9479327,13,242.0,272.0,344.0,327.0
297,75de97fbdf15aa3e1927a97ff9479327,13,702.0,429.0,749.0,450.0
298,75de97fbdf15aa3e1927a97ff9479327,13,566.0,195.0,604.0,234.0
299,75de97fbdf15aa3e1927a97ff9479327,13,228.0,285.0,300.0,328.0
300,75de97fbdf15aa3e1927a97ff9479327,13,631.0,330.0,730.0,412.0
301,75de97fbdf15aa3e1927a97ff9479327,0,479.0,267.0,567.0,365.0
302,75de97fbdf15aa3e1927a97ff9479327,3,349.0,525.0,737.0,623.0
303,ebf4ffbcf6de699bf9deab70f0dee8ff,3,286.0,528.0,780.0,818.0
304,ebf4ffbcf6de699bf9deab70f0dee8ff,7,260.0,471.0,343.0,622.0
305,ebf4ffbcf6de699bf9deab70f0dee8ff,7,693.0,400.0,814.0,608.0
306,ebf4ffbcf6de699bf9deab70f0dee8ff,0,464.0,296.0,586.0,413.0
307,d77ef79ee4580a65dcb1e0e26b91d017,0,367.0,261.0,452.0,373.0
308,d77ef79ee4580a65dcb1e0e26b91d017,0,382.0,258.0,450.0,330.0
309,d77ef79ee4580a65dcb1e0e26b91d017,3,268.0,508.0,571.0,603.0
310,d77ef79ee4580a65dcb1e0e26b91d017,13,189.0,403.0,253.0,501.0
311,d77ef79ee4580a65dcb1e0e26b91d017,6,414.0,174.0,537.0,277.0
312,bb315b4bc113c0506a9e24593cb06a6b,0,416.0,344.0,675.0,462.0
313,bb315b4bc113c0506a9e24593cb06a6b,0,528.0,314.0,667.0,487.0
314,bb315b4bc113c0506a9e24593cb06a6b,0,514.0,320.0,670.0,664.0
315,bb315b4bc113c0506a9e24593cb06a6b,3,367.0,517.0,799.0,663.0
316,9598f874069cca35ff56d54925d35ccb,8,487.0,531.0,566.0,605.0
317,9598f874069cca35ff56d54925d35ccb,8,476.0,494.0,518.0,530.0
318,9598f874069cca35ff56d54925d35ccb,8,475.0,486.0,500.0,520.0
319,9598f874069cca35ff56d54925d35ccb,11,389.0,124.0,475.0,155.0
320,9598f874069cca35ff56d54925d35ccb,11,148.0,120.0,273.0,162.0
321,9598f874069cca35ff56d54925d35ccb,11,71.0,701.0,114.0,753.0
322,9598f874069cca35ff56d54925d35ccb,7,489.0,538.0,566.0,604.0
323,9598f874069cca35ff56d54925d35ccb,0,310.0,241.0,402.0,312.0
324,b42e930c16c0166dbeae813b47bb8b07,0,548.0,268.0,651.0,370.0
325,b42e930c16c0166dbeae813b47bb8b07,8,706.0,363.0,775.0,435.0
326,b42e930c16c0166dbeae813b47bb8b07,11,656.0,131.0,724.0,166.0
327,b42e930c16c0166dbeae813b47bb8b07,11,657.0,133.0,750.0,191.0
328,b42e930c16c0166dbeae813b47bb8b07,13,706.0,358.0,794.0,442.0
329,b42e930c16c0166dbeae813b47bb8b07,13,699.0,360.0,771.0,413.0
330,b42e930c16c0166dbeae813b47bb8b07,9,706.0,363.0,775.0,435.0
331,b42e930c16c0166dbeae813b47bb8b07,7,706.0,358.0,794.0,442.0
332,5bf3368744630f459a499ccdccc9cdf1,0,469.0,312.0,609.0,460.0
333,5bf3368744630f459a499ccdccc9cdf1,3,354.0,661.0,787.0,860.0
334,5bf3368744630f459a499ccdccc9cdf1,9,658.0,84.0,716.0,159.0
